Report Download Date: 18-JUN-2026 03:53:14 PM
Username: Invoicing

Inv #,Type,Status,Cat.,Cat. Stn,Flt Date,Brd Flt #,Brd AC Type,Brd Dep.,Brd Dest.,Srv. Date,Srv Flt #,Srv AC Type,Srv Dep.,Srv Dest.,Item code,Service Description,Cabin Class,Item Price,Currency,Ord Qty,Billed Qty,Total Payment,Payment Currency,Vendor Invoice Number,Updated Date/Time,Updated By,Error Codes,Invoice Tags,Comments (Y/N)
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,8ATL-OVERHEAD-C,"IC C Overhead",C,4,USD,32,32,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4300,66324",N
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,6ATL-9120,"IC C S2 BRD",C,0,USD,32,32,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4310,66324",N
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,4ATL-412020,"IC C S2 BRD Croissant",C,0.98,USD,32,32,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4310,66324",N
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,4ATL-412010,"IC C S2 BRD Type 1",C,0.8,USD,19,19,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4310,66324",N
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,4ATL-412015,"IC C S2 BRD Type 2",C,0.56,USD,19,19,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4310,66324",N
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,5ATL-9140BK0,"IC C S1+S2 BKML",C,0,USD,1,1,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4310,66324",N
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,3ATL-9120BK1,"IC C S1+S2 Unused BKML 50%",C,19.51,USD,1,4,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4310,66324,F200,F200b,F200d",N
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,3ATL-9110BK1,"IC C S1+S2 Used BKML 100%",C,39.01,USD,1,0,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4310,66324,F101",N
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,5ATL-9110PX0,"IC C S1 America RG+SP-RSP",C,0,USD,30,30,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4310,66324",N
SK-7776698,Regular,PA,MA-US,ATL,02-MAY-2026,930,3333,ATL,CPH,02-MAY-2026,930,3333,ATL,CPH,2ATL-411041,"IC C S1 ST-A",C,6.2,USD,18,18,0,,,16-JUN-2026 18:13 GMT,Invoicing,,"4310,66324",N
